customer_id,true_segment,true_beta,signup_date,industry,region,contract_type,tenure_days_at_cutoff,n_quotes_12m,n_accepted_12m,avg_price_ratio_12m,revenue_12m,express_share_12m,acceptance_rate_12m,price_ratio_trend,churned
19,SMB,7.995,2023-07-31,Industrial,Northeast,Spot,751,2.0,2.0,1.072,474.56,0.0,1.0,,0
20,SMB,7.446,2024-05-02,Food & Beverage,Midwest,Spot,475,9.0,9.0,0.9677666666666666,1697.26,0.0,1.0,-0.06286999999999987,0
21,SMB,5.447,2022-06-22,Retail,Midwest,Spot,1155,5.0,5.0,0.96404,476.91999999999996,0.0,1.0,,0
22,Mid-Market,4.02,2022-04-12,Manufacturing,Southeast,Contract,1226,16.0,15.0,0.9442875000000001,2097.65,0.0625,0.9375,0.01388333333333347,0
23,Occasional,9.78,2019-09-23,Pharma,Midwest,Spot,2158,6.0,5.0,1.0034333333333334,346.71999999999997,0.16666666666666666,0.8333333333333334,-0.16680000000000006,0
24,Occasional,10.334,2020-08-11,Industrial,International,Spot,1835,1.0,1.0,0.9699,92.4,0.0,1.0,,0
25,SMB,8.289,2024-09-02,Apparel,Southeast,Contract,352,5.0,5.0,0.9854800000000001,1864.77,0.2,1.0,-0.046766666666666734,0
26,Mid-Market,4.906,2021-04-28,Pharma,Midwest,Contract,1575,12.0,11.0,0.9454166666666666,2266.5899999999997,0.16666666666666666,0.9166666666666666,-0.06594999999999984,0
27,SMB,8.075,2019-03-25,Electronics,Midwest,Spot,2340,6.0,6.0,0.95425,619.22,0.16666666666666666,1.0,0.11540000000000006,0
28,Enterprise,2.222,2023-11-11,Food & Beverage,West,Contract,648,17.0,15.0,1.0478058823529413,3121.06,0.11764705882352941,0.8823529411764706,0.00835000000000008,0
29,Mid-Market,3.812,2023-07-23,Retail,West,Spot,759,14.0,13.0,0.9892500000000001,3912.0899999999997,0.21428571428571427,0.9285714285714286,-0.014900000000000135,0
30,SMB,7.32,2019-06-11,Electronics,West,Spot,2262,3.0,3.0,1.0015333333333334,378.0,0.6666666666666666,1.0,,0
31,SMB,6.845,2019-05-05,Pharma,Northeast,Spot,2299,6.0,6.0,0.9498666666666667,736.83,0.0,1.0,-0.0027000000000000357,0
33,Mid-Market,4.042,2019-05-04,Industrial,West,Contract,2300,11.0,11.0,0.9408272727272727,2733.64,0.18181818181818182,1.0,-0.02960000000000007,0
34,Mid-Market,3.774,2023-02-09,Automotive,Southeast,Contract,923,7.0,7.0,0.9876571428571428,896.86,0.5714285714285714,1.0,-0.049350000000000116,0
35,SMB,6.871,2019-11-19,Retail,International,Spot,2101,6.0,5.0,0.9976666666666666,935.91,0.16666666666666666,0.8333333333333334,0.04466666666666663,0
36,Mid-Market,3.53,2023-01-17,Automotive,Southeast,Contract,946,9.0,8.0,0.9599555555555556,1716.19,0.2222222222222222,0.8888888888888888,0.12782500000000008,0
37,Mid-Market,5.558,2020-03-04,Manufacturing,Midwest,Spot,1995,8.0,6.0,1.01205,1313.46,0.5,0.75,-0.07507500000000011,0
39,Mid-Market,5.22,2023-11-03,Industrial,Southeast,Spot,656,9.0,9.0,0.9564222222222223,1528.9299999999998,0.1111111111111111,1.0,0.06149999999999989,0
40,SMB,7.369,2021-07-01,Industrial,West,Spot,1511,5.0,5.0,0.9513999999999999,955.91,0.2,1.0,,0
41,SMB,6.637,2021-11-09,Apparel,Northeast,Spot,1380,5.0,4.0,0.9584400000000001,730.24,0.0,0.8,0.08240000000000003,0
42,Occasional,6.863,2019-06-08,Electronics,Midwest,Spot,2265,1.0,1.0,0.9491,488.76,0.0,1.0,,0
43,SMB,5.582,2019-05-14,Pharma,Midwest,Contract,2290,9.0,9.0,0.9315444444444445,2161.75,0.1111111111111111,1.0,0.03871666666666662,0
44,Mid-Market,5.479,2022-08-01,Apparel,West,Contract,1115,12.0,11.0,0.9682833333333334,1602.1199999999997,0.08333333333333333,0.9166666666666666,,0
45,Occasional,10.309,2019-02-25,Pharma,Midwest,Spot,2368,2.0,2.0,0.9279999999999999,122.31,0.5,1.0,,1
46,SMB,5.342,2023-04-04,Food & Beverage,International,Spot,869,4.0,4.0,0.9385,992.1700000000001,0.25,1.0,-0.01660000000000006,0
47,Mid-Market,4.635,2021-07-20,Food & Beverage,West,Contract,1492,15.0,14.0,0.9670266666666667,2517.7900000000004,0.06666666666666667,0.9333333333333333,-0.09966000000000008,0
48,Mid-Market,5.299,2019-12-06,Pharma,Southeast,Spot,2084,14.0,13.0,0.9985857142857143,3315.5,0.21428571428571427,0.9285714285714286,-0.014399999999999968,0
49,SMB,5.698,2022-07-28,Retail,West,Spot,1119,2.0,2.0,1.0328,1232.96,0.0,1.0,,0
50,Mid-Market,3.015,2022-09-08,Industrial,International,Spot,1077,8.0,8.0,0.9488375,1494.51,0.125,1.0,0.017100000000000115,0
51,Mid-Market,5.377,2023-12-23,Retail,Southeast,Contract,606,11.0,11.0,1.0008636363636363,4067.8199999999997,0.18181818181818182,1.0,0.12112999999999996,0
52,Enterprise,1.23,2020-04-26,Industrial,Midwest,Contract,1942,19.0,19.0,1.0179263157894738,4988.12,0.10526315789473684,1.0,0.01440000000000019,0
53,SMB,6.867,2022-08-25,Retail,Southeast,Contract,1091,5.0,3.0,0.9077400000000001,321.73,0.0,0.6,-0.08800000000000008,0
54,SMB,6.568,2024-08-18,Pharma,Midwest,Spot,367,9.0,9.0,0.9681444444444445,2219.1899999999996,0.3333333333333333,1.0,-0.08515000000000006,0
55,SMB,6.858,2020-10-19,Food & Beverage,Northeast,Spot,1766,7.0,7.0,0.9899428571428572,1704.7700000000002,0.42857142857142855,1.0,0.11290000000000022,0
56,SMB,7.201,2024-07-26,Pharma,West,Contract,390,5.0,5.0,1.03586,1199.81,0.4,1.0,,1
57,SMB,5.847,2023-10-28,Food & Beverage,Southeast,Spot,662,5.0,4.0,0.95024,248.25,0.0,0.8,0.13960000000000006,0
58,SMB,8.359,2021-11-12,Industrial,Midwest,Spot,1377,4.0,4.0,1.021625,510.9,0.5,1.0,,0
59,Mid-Market,4.759,2024-11-20,Retail,Northeast,Spot,273,7.0,6.0,0.9793142857142857,1058.54,0.2857142857142857,0.8571428571428571,,0
61,SMB,6.279,2020-07-30,Apparel,Midwest,Spot,1847,5.0,4.0,0.94658,425.12999999999994,0.4,0.8,-0.04774999999999996,0
63,SMB,7.179,2019-01-06,Manufacturing,Southeast,Spot,2418,5.0,5.0,0.95412,1814.5700000000002,0.2,1.0,0.09204999999999997,0
64,SMB,4.396,2019-11-11,Retail,Northeast,Spot,2109,8.0,7.0,0.9524875,1200.25,0.125,0.875,-0.11760000000000004,1
65,SMB,5.651,2019-04-16,Food & Beverage,Southeast,Spot,2318,4.0,4.0,0.9709500000000001,666.8900000000001,1.0,1.0,,0
66,SMB,7.777,2021-06-14,Electronics,International,Spot,1528,4.0,4.0,1.0125250000000001,445.42999999999995,0.25,1.0,0.012399999999999967,0
68,Mid-Market,4.942,2023-01-01,Industrial,West,Contract,962,9.0,9.0,0.9565111111111112,1628.8400000000001,0.3333333333333333,1.0,-0.06973333333333342,0
69,Enterprise,1.717,2023-02-10,Food & Beverage,Northeast,Contract,922,12.0,12.0,1.0282166666666666,1316.01,0.08333333333333333,1.0,0.012583333333333169,0
70,SMB,7.941,2019-07-26,Automotive,West,Contract,2217,3.0,3.0,0.8665666666666666,303.65,0.6666666666666666,1.0,,0
71,Mid-Market,3.712,2022-06-10,Retail,Northeast,Contract,1167,12.0,11.0,1.0045833333333334,2324.0,0.25,0.9166666666666666,0.05846499999999999,0
72,Mid-Market,3.252,2021-07-20,Apparel,Southeast,Spot,1492,6.0,6.0,0.9506,958.89,0.0,1.0,0.023249999999999993,0
73,Occasional,6.881,2022-03-13,Retail,Southeast,Spot,1256,5.0,5.0,0.9459799999999999,918.3000000000001,0.2,1.0,-0.0976999999999999,0
74,Mid-Market,3.959,2020-09-27,Apparel,Northeast,Contract,1788,11.0,10.0,1.0129727272727271,1643.1499999999999,0.2727272727272727,0.9090909090909091,-0.03793333333333326,0
75,Enterprise,3.311,2020-05-05,Food & Beverage,Southeast,Contract,1933,15.0,15.0,1.0446199999999999,4163.0199999999995,0.4,1.0,-0.17263333333333342,0
76,Mid-Market,5.108,2025-05-07,Food & Beverage,Southeast,Spot,105,3.0,3.0,1.0733333333333335,420.32000000000005,0.3333333333333333,1.0,,0
77,Mid-Market,5.221,2022-09-21,Electronics,Midwest,Spot,1064,9.0,9.0,0.9930111111111111,2474.13,0.3333333333333333,1.0,0.022266666666666546,0
78,SMB,8.413,2021-09-29,Food & Beverage,International,Spot,1421,5.0,4.0,0.99268,867.48,0.2,0.8,,1
79,SMB,6.157,2019-06-29,Automotive,Midwest,Spot,2244,5.0,5.0,0.91378,424.25,0.2,1.0,0.12,1
80,SMB,6.95,2024-02-01,Automotive,International,Contract,566,2.0,2.0,0.9989,89.16,0.5,1.0,,0
81,SMB,7.943,2022-02-24,Electronics,Midwest,Spot,1273,3.0,3.0,1.0023,264.33,0.3333333333333333,1.0,,0
82,Mid-Market,3.369,2021-07-30,Electronics,Northeast,Spot,1482,11.0,10.0,1.0019363636363636,2169.4399999999996,0.18181818181818182,0.9090909090909091,-0.05438333333333345,0
83,SMB,6.04,2023-06-13,Pharma,Northeast,Contract,799,6.0,6.0,0.96355,718.89,0.6666666666666666,1.0,-0.009550000000000058,0
84,Mid-Market,3.717,2019-11-17,Apparel,Southeast,Spot,2103,17.0,15.0,0.9789294117647058,3568.7000000000003,0.29411764705882354,0.8823529411764706,0.00297499999999995,0
85,Enterprise,2.399,2022-07-22,Manufacturing,Southeast,Contract,1125,19.0,19.0,1.0289473684210526,2375.9599999999996,0.15789473684210525,1.0,0.03870476190476202,0
86,Mid-Market,3.949,2024-10-02,Apparel,West,Spot,322,6.0,6.0,1.0081,649.6099999999999,0.0,1.0,-0.017349999999999977,0
87,SMB,7.641,2022-02-03,Industrial,West,Contract,1294,4.0,3.0,1.00155,464.89,0.0,0.75,0.05180000000000007,0
88,SMB,5.795,2019-01-02,Automotive,Midwest,Spot,2422,4.0,3.0,0.917025,249.98000000000002,0.0,0.75,-0.031033333333333246,0
89,Mid-Market,4.278,2020-07-13,Pharma,Midwest,Contract,1864,10.0,9.0,0.9582900000000001,4776.76,0.3,0.9,0.13669999999999993,0
90,SMB,6.027,2019-05-17,Electronics,Southeast,Contract,2287,6.0,6.0,0.9209,1647.12,0.3333333333333333,1.0,0.1714,0
91,Mid-Market,3.374,2022-05-02,Electronics,Midwest,Contract,1206,11.0,11.0,0.9486181818181817,1841.58,0.36363636363636365,1.0,0.04822500000000007,0
92,SMB,5.641,2021-06-06,Apparel,Northeast,Spot,1536,5.0,5.0,0.94098,416.12,0.4,1.0,-0.009475000000000011,0
93,SMB,7.011,2019-11-19,Food & Beverage,Northeast,Spot,2101,8.0,6.0,0.986225,2417.88,0.25,0.75,0.03639999999999999,1
94,Mid-Market,3.32,2023-07-31,Retail,Southeast,Spot,751,9.0,9.0,1.013677777777778,1040.53,0.2222222222222222,1.0,-0.04170000000000007,0
95,Mid-Market,3.86,2020-03-06,Apparel,Northeast,Contract,1993,7.0,7.0,0.9864571428571428,856.1600000000001,0.0,1.0,,0
96,SMB,7.99,2021-04-12,Manufacturing,West,Spot,1591,4.0,3.0,0.98025,519.0699999999999,0.25,0.75,,0
98,Mid-Market,3.537,2019-06-11,Food & Beverage,Northeast,Spot,2262,6.0,6.0,1.0246166666666667,1733.26,0.16666666666666666,1.0,0.022399999999999975,0
99,Mid-Market,4.496,2020-08-26,Electronics,International,Spot,1820,11.0,8.0,0.9881454545454545,778.0000000000001,0.09090909090909091,0.7272727272727273,,0
100,Occasional,8.515,2021-02-12,Retail,International,Spot,1650,5.0,5.0,1.0234,632.12,0.6,1.0,0.01729999999999987,0
101,Occasional,8.736,2022-05-23,Manufacturing,Midwest,Spot,1185,3.0,3.0,0.9558,514.34,0.0,1.0,,1
102,SMB,6.379,2020-08-19,Industrial,Midwest,Spot,1827,4.0,4.0,0.98915,376.4,0.75,1.0,,0
104,Occasional,9.945,2019-01-14,Industrial,Northeast,Spot,2410,1.0,1.0,1.0769,97.57,0.0,1.0,,0
105,SMB,5.075,2025-04-27,Industrial,Southeast,Spot,115,2.0,2.0,0.9557,199.49,0.0,1.0,,0
106,SMB,5.301,2022-07-26,Retail,Northeast,Spot,1121,9.0,9.0,0.9354,2349.12,0.1111111111111111,1.0,-0.04797499999999999,0
107,SMB,7.074,2019-04-04,Food & Beverage,Southeast,Spot,2330,4.0,4.0,1.0349,1018.58,0.5,1.0,0.0686,0
108,Mid-Market,3.428,2019-10-12,Automotive,International,Spot,2139,10.0,10.0,0.97956,1491.17,0.0,1.0,0.06512999999999991,0
109,Mid-Market,4.414,2019-09-08,Food & Beverage,West,Spot,2173,9.0,9.0,1.0028666666666668,1949.7499999999998,0.2222222222222222,1.0,0.01945000000000008,0
110,Occasional,7.797,2020-12-01,Pharma,International,Spot,1723,3.0,3.0,0.9674,998.64,0.3333333333333333,1.0,,1
111,SMB,8.813,2021-03-22,Pharma,West,Contract,1612,3.0,3.0,0.9903333333333334,1221.9299999999998,0.0,1.0,0.053199999999999914,1
112,Mid-Market,5.522,2023-04-11,Apparel,Midwest,Contract,862,7.0,5.0,0.9211142857142857,754.29,0.0,0.7142857142857143,,0
113,Mid-Market,4.224,2021-01-27,Industrial,West,Contract,1666,8.0,7.0,0.9964124999999999,1155.93,0.25,0.875,0.051283333333333236,0
114,SMB,7.072,2023-11-01,Industrial,Midwest,Contract,658,6.0,5.0,0.9238333333333334,793.06,0.16666666666666666,0.8333333333333334,0.014375000000000027,0
115,Mid-Market,4.084,2020-12-16,Apparel,Midwest,Spot,1708,5.0,5.0,0.9735199999999999,665.92,0.0,1.0,,0
116,Occasional,7.705,2020-10-03,Pharma,Southeast,Spot,1782,5.0,5.0,1.02332,1024.69,0.6,1.0,-0.1093666666666665,0
117,SMB,6.136,2020-11-01,Electronics,Midwest,Contract,1753,9.0,8.0,0.9202222222222223,1518.0,0.0,0.8888888888888888,0.10441,0
118,SMB,7.519,2021-03-12,Retail,Southeast,Spot,1622,6.0,5.0,0.9486833333333333,1674.6499999999999,0.3333333333333333,0.8333333333333334,-0.07286666666666675,0
119,SMB,6.313,2024-08-01,Apparel,Midwest,Spot,384,3.0,3.0,0.9601999999999999,379.81000000000006,0.6666666666666666,1.0,,0
120,SMB,6.146,2020-08-24,Retail,Northeast,Contract,1822,5.0,4.0,0.9327799999999999,1123.6000000000001,0.4,0.8,0.06973333333333331,0
121,SMB,5.45,2020-10-27,Apparel,Midwest,Contract,1758,7.0,7.0,0.9640857142857142,1292.71,0.2857142857142857,1.0,-0.10870000000000002,0
123,Mid-Market,5.647,2023-05-11,Automotive,Southeast,Contract,832,7.0,7.0,1.0133857142857143,1261.88,0.2857142857142857,1.0,-0.035250000000000004,0
124,Mid-Market,4.324,2020-04-08,Industrial,Midwest,Spot,1960,7.0,7.0,0.9954714285714286,2349.88,0.0,1.0,0.19857999999999998,0
125,Enterprise,2.225,2024-10-15,Pharma,Northeast,Spot,309,12.0,12.0,1.0508416666666667,4055.7400000000002,0.4166666666666667,1.0,0.046699999999999964,0
126,SMB,3.553,2020-03-22,Pharma,International,Spot,1977,7.0,6.0,0.9306285714285715,656.26,0.14285714285714285,0.8571428571428571,-0.16879999999999995,0
127,Mid-Market,5.594,2020-01-30,Food & Beverage,Southeast,Spot,2029,13.0,13.0,0.9754692307692309,2368.19,0.38461538461538464,1.0,-0.02632000000000012,0
128,Mid-Market,4.986,2021-12-19,Electronics,Southeast,Spot,1340,8.0,8.0,0.9836,2036.52,0.25,1.0,0.03499999999999992,0
129,Mid-Market,4.291,2023-08-11,Retail,Northeast,Contract,740,10.0,10.0,0.96427,2138.33,0.1,1.0,0.008120000000000016,0
130,SMB,7.557,2020-04-05,Retail,West,Spot,1963,2.0,1.0,1.0918,85.9,0.5,0.5,0.25860000000000005,0
131,Mid-Market,5.032,2024-01-09,Apparel,Midwest,Contract,589,15.0,14.0,0.9987666666666667,3584.3599999999997,0.2,0.9333333333333333,0.0017800000000001148,0
132,Occasional,8.958,2020-01-17,Industrial,Southeast,Spot,2042,3.0,3.0,0.9810666666666666,282.79999999999995,0.0,1.0,,1
133,SMB,6.044,2024-03-18,Retail,Southeast,Spot,520,7.0,5.0,0.9710285714285715,1340.51,0.42857142857142855,0.7142857142857143,0.003550000000000053,0
134,Mid-Market,4.888,2019-08-22,Electronics,West,Contract,2190,12.0,10.0,0.9972,1862.1899999999998,0.16666666666666666,0.8333333333333334,-0.03331666666666677,0
135,SMB,6.108,2022-02-04,Pharma,International,Spot,1293,6.0,5.0,1.02515,608.0,0.16666666666666666,0.8333333333333334,,0
136,Enterprise,3.421,2023-04-08,Apparel,Southeast,Contract,865,13.0,12.0,1.072976923076923,2561.37,0.15384615384615385,0.9230769230769231,-0.0823999999999998,0
137,Occasional,10.41,2020-10-08,Apparel,Northeast,Spot,1777,2.0,2.0,1.02755,224.23,0.5,1.0,,0
138,SMB,8.631,2023-01-30,Apparel,Northeast,Spot,933,6.0,6.0,0.9924166666666667,931.3,0.3333333333333333,1.0,-0.33009999999999995,0
139,SMB,5.743,2023-08-04,Retail,Northeast,Spot,747,5.0,5.0,1.0118800000000001,1440.27,0.4,1.0,,0
140,Mid-Market,5.519,2023-05-03,Electronics,West,Contract,840,13.0,12.0,0.987276923076923,1026.85,0.07692307692307693,0.9230769230769231,0.02300000000000013,0
141,SMB,5.784,2021-08-24,Food & Beverage,International,Spot,1457,8.0,7.0,0.99175,1128.26,0.125,0.875,,1
142,SMB,6.444,2024-02-26,Retail,International,Spot,541,6.0,5.0,0.9928666666666667,1155.35,0.5,0.8333333333333334,0.005849999999999911,1
144,SMB,7.097,2021-03-05,Food & Beverage,Northeast,Spot,1629,5.0,5.0,0.97632,538.2900000000001,0.2,1.0,,0
145,SMB,6.07,2023-11-21,Industrial,International,Spot,638,7.0,7.0,1.0025,628.1800000000001,0.5714285714285714,1.0,,0
146,Mid-Market,4.106,2025-02-14,Electronics,Southeast,Contract,187,6.0,6.0,1.0349166666666667,1272.18,0.0,1.0,,0
147,Mid-Market,4.637,2024-06-11,Industrial,Southeast,Spot,435,7.0,6.0,1.0166,1011.6700000000001,0.2857142857142857,0.8571428571428571,0.01649999999999996,0
148,SMB,4.711,2023-11-21,Apparel,West,Spot,638,3.0,3.0,0.9506333333333333,298.15999999999997,0.3333333333333333,1.0,,0
149,SMB,5.561,2024-02-10,Apparel,Northeast,Contract,557,3.0,3.0,0.9495333333333335,1366.62,0.0,1.0,,0
150,Enterprise,3.233,2024-05-13,Automotive,West,Contract,464,16.0,15.0,1.01696875,1706.83,0.25,0.9375,-0.030630000000000046,0
151,SMB,8.138,2020-12-05,Automotive,International,Contract,1719,8.0,8.0,0.914325,1749.5400000000002,0.375,1.0,,0
152,Occasional,6.388,2023-10-22,Manufacturing,West,Spot,668,1.0,1.0,0.9926,89.78,1.0,1.0,,0
153,Mid-Market,4.545,2020-04-30,Food & Beverage,West,Spot,1938,14.0,11.0,1.0073071428571427,2113.95,0.2857142857142857,0.7857142857142857,0.053716666666666635,0
154,SMB,6.69,2021-05-22,Pharma,Southeast,Spot,1551,4.0,4.0,0.92925,1086.23,0.25,1.0,0.052649999999999975,1
155,Mid-Market,5.234,2025-03-25,Industrial,Northeast,Contract,148,3.0,3.0,1.0052666666666668,371.04,0.3333333333333333,1.0,,0
156,SMB,7.141,2020-11-20,Retail,West,Spot,1734,8.0,8.0,1.0012875,942.7400000000001,0.125,1.0,,0
157,Mid-Market,3.677,2024-08-16,Food & Beverage,Midwest,Contract,369,11.0,11.0,0.9663727272727273,3103.35,0.45454545454545453,1.0,0.00436666666666663,0
158,SMB,6.286,2021-10-25,Manufacturing,International,Contract,1395,6.0,6.0,0.97185,1194.41,0.0,1.0,-0.05764999999999998,0
159,SMB,5.809,2020-05-26,Manufacturing,Northeast,Spot,1912,3.0,3.0,0.9160666666666666,486.02,0.3333333333333333,1.0,0.004550000000000054,0
160,SMB,8.613,2019-08-25,Automotive,Southeast,Spot,2187,5.0,3.0,1.0028000000000001,1260.55,0.2,0.6,0.0504,0
161,Mid-Market,5.515,2022-08-27,Manufacturing,Southeast,Spot,1089,7.0,6.0,0.9973714285714286,1377.37,0.2857142857142857,0.8571428571428571,,0
162,Occasional,9.305,2022-01-03,Automotive,West,Spot,1325,5.0,5.0,0.93256,1349.53,0.2,1.0,0.058150000000000035,1
163,Mid-Market,5.02,2022-05-30,Industrial,West,Spot,1178,13.0,12.0,1.0053923076923077,1984.69,0.38461538461538464,0.9230769230769231,-0.030440000000000023,0
164,Enterprise,2.612,2019-04-16,Automotive,International,Contract,2318,18.0,17.0,1.0303722222222222,3223.81,0.16666666666666666,0.9444444444444444,0.06995000000000007,0
165,SMB,6.374,2020-10-14,Manufacturing,Southeast,Spot,1771,3.0,2.0,0.9291666666666667,174.16,0.3333333333333333,0.6666666666666666,,0
166,Mid-Market,3.415,2019-01-10,Manufacturing,Midwest,Contract,2414,10.0,9.0,0.95496,1602.0500000000002,0.2,0.9,0.024274999999999936,0
167,SMB,6.068,2021-01-06,Food & Beverage,Northeast,Spot,1687,8.0,8.0,0.9705125,1727.59,0.375,1.0,0.06659999999999999,0
168,SMB,7.915,2025-03-18,Pharma,Southeast,Spot,155,2.0,2.0,0.944,156.13,0.0,1.0,,0
169,Mid-Market,5.687,2020-01-06,Automotive,Southeast,Spot,2053,12.0,12.0,0.9735666666666667,3121.2200000000007,0.25,1.0,0.0003249999999999087,0
170,Occasional,7.062,2023-08-06,Food & Beverage,Midwest,Spot,745,3.0,1.0,0.9757666666666666,177.46,0.0,0.3333333333333333,,0
171,Mid-Market,6.611,2019-01-15,Manufacturing,Midwest,Contract,2409,7.0,5.0,0.9760142857142858,848.74,0.14285714285714285,0.7142857142857143,-0.017300000000000093,0
172,SMB,5.733,2022-09-30,Industrial,Southeast,Spot,1055,3.0,3.0,0.9626,211.96999999999997,0.0,1.0,,0
173,Mid-Market,5.502,2025-02-20,Industrial,Midwest,Contract,181,6.0,4.0,1.0128166666666667,582.83,0.0,0.6666666666666666,,0
174,Occasional,10.43,2021-04-10,Apparel,West,Spot,1593,2.0,2.0,0.9940499999999999,456.07,0.5,1.0,,1
175,Mid-Market,5.884,2020-04-25,Apparel,Southeast,Contract,1943,5.0,4.0,0.97644,1445.71,0.0,0.8,,0
176,Enterprise,2.453,2022-10-21,Industrial,Southeast,Contract,1034,22.0,21.0,1.0341727272727272,3909.2600000000007,0.22727272727272727,0.9545454545454546,0.06936857142857145,0
177,SMB,5.886,2020-11-10,Food & Beverage,West,Spot,1744,5.0,5.0,0.9335000000000001,328.65999999999997,0.4,1.0,,0
178,Occasional,7.298,2024-12-10,Manufacturing,West,Contract,253,2.0,1.0,0.9322,99.44,0.0,0.5,,0
179,Occasional,7.721,2024-08-29,Pharma,West,Spot,356,1.0,1.0,0.8792,43.03,1.0,1.0,,0
180,SMB,6.612,2023-05-08,Food & Beverage,Northeast,Spot,835,2.0,2.0,0.99135,631.6899999999999,0.0,1.0,,0
181,Occasional,7.857,2023-04-06,Automotive,Midwest,Spot,867,1.0,1.0,0.9276,187.3,1.0,1.0,,1
182,Occasional,8.678,2023-01-07,Automotive,International,Contract,956,1.0,1.0,0.8969,134.0,1.0,1.0,,0
183,SMB,6.6,2023-11-26,Food & Beverage,Southeast,Spot,633,6.0,6.0,0.9916333333333333,955.56,0.0,1.0,0.043300000000000005,0
184,Mid-Market,4.677,2022-01-25,Electronics,Southeast,Spot,1303,13.0,12.0,1.0143538461538462,3930.3700000000003,0.3076923076923077,0.9230769230769231,0.08877500000000005,0
186,SMB,9.11,2021-04-21,Apparel,Northeast,Spot,1582,5.0,5.0,0.9523400000000001,351.07,0.4,1.0,0.0534,1
187,Mid-Market,3.105,2019-01-22,Apparel,West,Contract,2402,12.0,10.0,0.953575,2021.55,0.16666666666666666,0.8333333333333334,-0.04296666666666671,0
188,Mid-Market,2.94,2023-08-28,Pharma,West,Contract,723,10.0,10.0,0.9682000000000001,2396.74,0.2,1.0,,0
189,SMB,7.003,2023-06-01,Pharma,Northeast,Spot,811,5.0,4.0,0.99742,1744.6200000000001,0.0,0.8,0.005900000000000016,0
192,Mid-Market,4.067,2021-10-31,Manufacturing,West,Contract,1389,8.0,8.0,0.9998125,1957.3899999999999,0.125,1.0,-0.019549999999999956,0
193,Mid-Market,3.777,2022-09-30,Automotive,International,Contract,1055,9.0,9.0,0.9578000000000001,2144.81,0.4444444444444444,1.0,-0.03976666666666684,0
194,Occasional,9.574,2021-08-13,Industrial,West,Spot,1468,1.0,1.0,0.9633,244.44,0.0,1.0,,0
195,Mid-Market,4.544,2024-03-26,Pharma,Northeast,Spot,512,17.0,15.0,1.0198058823529412,2424.58,0.29411764705882354,0.8823529411764706,0.0304416666666667,0
