customer_id,true_segment,true_beta,signup_date,industry,region,contract_type
44,Mid-Market,5.479,2022-08-01,Apparel,West,Contract
45,Occasional,10.309,2019-02-25,Pharma,Midwest,Spot
46,SMB,5.342,2023-04-04,Food & Beverage,International,Spot
47,Mid-Market,4.635,2021-07-20,Food & Beverage,West,Contract
48,Mid-Market,5.299,2019-12-06,Pharma,Southeast,Spot
49,SMB,5.698,2022-07-28,Retail,West,Spot
50,Mid-Market,3.015,2022-09-08,Industrial,International,Spot
51,Mid-Market,5.377,2023-12-23,Retail,Southeast,Contract
52,Enterprise,1.23,2020-04-26,Industrial,Midwest,Contract
53,SMB,6.867,2022-08-25,Retail,Southeast,Contract
54,SMB,6.568,2024-08-18,Pharma,Midwest,Spot
55,SMB,6.858,2020-10-19,Food & Beverage,Northeast,Spot
56,SMB,7.201,2024-07-26,Pharma,West,Contract
57,SMB,5.847,2023-10-28,Food & Beverage,Southeast,Spot
58,SMB,8.359,2021-11-12,Industrial,Midwest,Spot
59,Mid-Market,4.759,2024-11-20,Retail,Northeast,Spot
60,Mid-Market,5.164,2025-06-12,Industrial,West,Contract
61,SMB,6.279,2020-07-30,Apparel,Midwest,Spot
62,SMB,6.08,2025-07-13,Automotive,Midwest,Spot
63,SMB,7.179,2019-01-06,Manufacturing,Southeast,Spot
64,SMB,4.396,2019-11-11,Retail,Northeast,Spot
65,SMB,5.651,2019-04-16,Food & Beverage,Southeast,Spot
66,SMB,7.777,2021-06-14,Electronics,International,Spot
67,SMB,4.515,2025-03-31,Automotive,Northeast,Spot
68,Mid-Market,4.942,2023-01-01,Industrial,West,Contract
69,Enterprise,1.717,2023-02-10,Food & Beverage,Northeast,Contract
70,SMB,7.941,2019-07-26,Automotive,West,Contract
71,Mid-Market,3.712,2022-06-10,Retail,Northeast,Contract
72,Mid-Market,3.252,2021-07-20,Apparel,Southeast,Spot
73,Occasional,6.881,2022-03-13,Retail,Southeast,Spot
74,Mid-Market,3.959,2020-09-27,Apparel,Northeast,Contract
75,Enterprise,3.311,2020-05-05,Food & Beverage,Southeast,Contract
76,Mid-Market,5.108,2025-05-07,Food & Beverage,Southeast,Spot
77,Mid-Market,5.221,2022-09-21,Electronics,Midwest,Spot
78,SMB,8.413,2021-09-29,Food & Beverage,International,Spot
79,SMB,6.157,2019-06-29,Automotive,Midwest,Spot
80,SMB,6.95,2024-02-01,Automotive,International,Contract
81,SMB,7.943,2022-02-24,Electronics,Midwest,Spot
82,Mid-Market,3.369,2021-07-30,Electronics,Northeast,Spot
83,SMB,6.04,2023-06-13,Pharma,Northeast,Contract
84,Mid-Market,3.717,2019-11-17,Apparel,Southeast,Spot
85,Enterprise,2.399,2022-07-22,Manufacturing,Southeast,Contract
86,Mid-Market,3.949,2024-10-02,Apparel,West,Spot
87,SMB,7.641,2022-02-03,Industrial,West,Contract
88,SMB,5.795,2019-01-02,Automotive,Midwest,Spot
89,Mid-Market,4.278,2020-07-13,Pharma,Midwest,Contract
90,SMB,6.027,2019-05-17,Electronics,Southeast,Contract
91,Mid-Market,3.374,2022-05-02,Electronics,Midwest,Contract
92,SMB,5.641,2021-06-06,Apparel,Northeast,Spot
93,SMB,7.011,2019-11-19,Food & Beverage,Northeast,Spot
94,Mid-Market,3.32,2023-07-31,Retail,Southeast,Spot
95,Mid-Market,3.86,2020-03-06,Apparel,Northeast,Contract
96,SMB,7.99,2021-04-12,Manufacturing,West,Spot
97,Mid-Market,4.678,2025-08-02,Industrial,Northeast,Contract
98,Mid-Market,3.537,2019-06-11,Food & Beverage,Northeast,Spot
99,Mid-Market,4.496,2020-08-26,Electronics,International,Spot
100,Occasional,8.515,2021-02-12,Retail,International,Spot
101,Occasional,8.736,2022-05-23,Manufacturing,Midwest,Spot
102,SMB,6.379,2020-08-19,Industrial,Midwest,Spot
103,Mid-Market,5.553,2025-06-20,Pharma,West,Contract
104,Occasional,9.945,2019-01-14,Industrial,Northeast,Spot
105,SMB,5.075,2025-04-27,Industrial,Southeast,Spot
106,SMB,5.301,2022-07-26,Retail,Northeast,Spot
107,SMB,7.074,2019-04-04,Food & Beverage,Southeast,Spot
108,Mid-Market,3.428,2019-10-12,Automotive,International,Spot
109,Mid-Market,4.414,2019-09-08,Food & Beverage,West,Spot
110,Occasional,7.797,2020-12-01,Pharma,International,Spot
111,SMB,8.813,2021-03-22,Pharma,West,Contract
112,Mid-Market,5.522,2023-04-11,Apparel,Midwest,Contract
113,Mid-Market,4.224,2021-01-27,Industrial,West,Contract
114,SMB,7.072,2023-11-01,Industrial,Midwest,Contract
115,Mid-Market,4.084,2020-12-16,Apparel,Midwest,Spot
116,Occasional,7.705,2020-10-03,Pharma,Southeast,Spot
117,SMB,6.136,2020-11-01,Electronics,Midwest,Contract
118,SMB,7.519,2021-03-12,Retail,Southeast,Spot
119,SMB,6.313,2024-08-01,Apparel,Midwest,Spot
120,SMB,6.146,2020-08-24,Retail,Northeast,Contract
121,SMB,5.45,2020-10-27,Apparel,Midwest,Contract
122,SMB,8.29,2025-05-19,Food & Beverage,Southeast,Spot
123,Mid-Market,5.647,2023-05-11,Automotive,Southeast,Contract
124,Mid-Market,4.324,2020-04-08,Industrial,Midwest,Spot
125,Enterprise,2.225,2024-10-15,Pharma,Northeast,Spot
126,SMB,3.553,2020-03-22,Pharma,International,Spot
127,Mid-Market,5.594,2020-01-30,Food & Beverage,Southeast,Spot
128,Mid-Market,4.986,2021-12-19,Electronics,Southeast,Spot
129,Mid-Market,4.291,2023-08-11,Retail,Northeast,Contract
130,SMB,7.557,2020-04-05,Retail,West,Spot
131,Mid-Market,5.032,2024-01-09,Apparel,Midwest,Contract
132,Occasional,8.958,2020-01-17,Industrial,Southeast,Spot
133,SMB,6.044,2024-03-18,Retail,Southeast,Spot
134,Mid-Market,4.888,2019-08-22,Electronics,West,Contract
135,SMB,6.108,2022-02-04,Pharma,International,Spot
136,Enterprise,3.421,2023-04-08,Apparel,Southeast,Contract
137,Occasional,10.41,2020-10-08,Apparel,Northeast,Spot
138,SMB,8.631,2023-01-30,Apparel,Northeast,Spot
139,SMB,5.743,2023-08-04,Retail,Northeast,Spot
140,Mid-Market,5.519,2023-05-03,Electronics,West,Contract
141,SMB,5.784,2021-08-24,Food & Beverage,International,Spot
142,SMB,6.444,2024-02-26,Retail,International,Spot
143,Occasional,12.46,2023-11-17,Electronics,West,Spot
144,SMB,7.097,2021-03-05,Food & Beverage,Northeast,Spot
145,SMB,6.07,2023-11-21,Industrial,International,Spot
146,Mid-Market,4.106,2025-02-14,Electronics,Southeast,Contract
147,Mid-Market,4.637,2024-06-11,Industrial,Southeast,Spot
148,SMB,4.711,2023-11-21,Apparel,West,Spot
149,SMB,5.561,2024-02-10,Apparel,Northeast,Contract
150,Enterprise,3.233,2024-05-13,Automotive,West,Contract
151,SMB,8.138,2020-12-05,Automotive,International,Contract
152,Occasional,6.388,2023-10-22,Manufacturing,West,Spot
153,Mid-Market,4.545,2020-04-30,Food & Beverage,West,Spot
154,SMB,6.69,2021-05-22,Pharma,Southeast,Spot
155,Mid-Market,5.234,2025-03-25,Industrial,Northeast,Contract
156,SMB,7.141,2020-11-20,Retail,West,Spot
157,Mid-Market,3.677,2024-08-16,Food & Beverage,Midwest,Contract
158,SMB,6.286,2021-10-25,Manufacturing,International,Contract
159,SMB,5.809,2020-05-26,Manufacturing,Northeast,Spot
160,SMB,8.613,2019-08-25,Automotive,Southeast,Spot
161,Mid-Market,5.515,2022-08-27,Manufacturing,Southeast,Spot
162,Occasional,9.305,2022-01-03,Automotive,West,Spot
163,Mid-Market,5.02,2022-05-30,Industrial,West,Spot
164,Enterprise,2.612,2019-04-16,Automotive,International,Contract
165,SMB,6.374,2020-10-14,Manufacturing,Southeast,Spot
166,Mid-Market,3.415,2019-01-10,Manufacturing,Midwest,Contract
167,SMB,6.068,2021-01-06,Food & Beverage,Northeast,Spot
168,SMB,7.915,2025-03-18,Pharma,Southeast,Spot
169,Mid-Market,5.687,2020-01-06,Automotive,Southeast,Spot
170,Occasional,7.062,2023-08-06,Food & Beverage,Midwest,Spot
171,Mid-Market,6.611,2019-01-15,Manufacturing,Midwest,Contract
172,SMB,5.733,2022-09-30,Industrial,Southeast,Spot
173,Mid-Market,5.502,2025-02-20,Industrial,Midwest,Contract
174,Occasional,10.43,2021-04-10,Apparel,West,Spot
175,Mid-Market,5.884,2020-04-25,Apparel,Southeast,Contract
176,Enterprise,2.453,2022-10-21,Industrial,Southeast,Contract
177,SMB,5.886,2020-11-10,Food & Beverage,West,Spot
178,Occasional,7.298,2024-12-10,Manufacturing,West,Contract
179,Occasional,7.721,2024-08-29,Pharma,West,Spot
180,SMB,6.612,2023-05-08,Food & Beverage,Northeast,Spot
181,Occasional,7.857,2023-04-06,Automotive,Midwest,Spot
182,Occasional,8.678,2023-01-07,Automotive,International,Contract
183,SMB,6.6,2023-11-26,Food & Beverage,Southeast,Spot
184,Mid-Market,4.677,2022-01-25,Electronics,Southeast,Spot
185,SMB,6.912,2025-06-19,Food & Beverage,International,Spot
186,SMB,9.11,2021-04-21,Apparel,Northeast,Spot
187,Mid-Market,3.105,2019-01-22,Apparel,West,Contract
188,Mid-Market,2.94,2023-08-28,Pharma,West,Contract
189,SMB,7.003,2023-06-01,Pharma,Northeast,Spot
190,Mid-Market,4.83,2025-07-16,Industrial,West,Contract
191,Occasional,9.317,2021-08-20,Electronics,Midwest,Spot
192,Mid-Market,4.067,2021-10-31,Manufacturing,West,Contract
193,Mid-Market,3.777,2022-09-30,Automotive,International,Contract
194,Occasional,9.574,2021-08-13,Industrial,West,Spot
195,Mid-Market,4.544,2024-03-26,Pharma,Northeast,Spot
196,Mid-Market,5.154,2021-11-08,Food & Beverage,West,Contract
197,SMB,3.746,2024-03-23,Electronics,International,Spot
198,Occasional,8.791,2021-11-02,Food & Beverage,Midwest,Spot
199,Mid-Market,3.293,2020-07-02,Retail,Midwest,Spot
200,Mid-Market,4.196,2025-08-09,Pharma,Northeast,Contract
201,SMB,6.992,2022-07-05,Electronics,West,Spot
202,Occasional,6.672,2023-09-18,Electronics,Northeast,Spot
203,SMB,6.645,2022-12-10,Pharma,Southeast,Spot
204,Mid-Market,5.959,2021-05-24,Industrial,International,Spot
205,Enterprise,2.534,2025-06-25,Manufacturing,International,Contract
206,Mid-Market,3.632,2021-06-23,Industrial,International,Spot
207,Mid-Market,5.383,2025-08-15,Pharma,Midwest,Spot
208,SMB,6.652,2021-11-14,Industrial,Northeast,Spot
209,Mid-Market,4.164,2019-02-25,Food & Beverage,Midwest,Spot
210,SMB,6.895,2019-03-31,Industrial,Northeast,Spot
211,SMB,6.566,2025-06-28,Apparel,West,Spot
212,SMB,6.537,2022-07-09,Apparel,Midwest,Spot
213,Mid-Market,5.091,2021-08-01,Pharma,Southeast,Spot
214,SMB,7.336,2024-05-29,Food & Beverage,Northeast,Spot
215,SMB,5.95,2023-02-11,Pharma,Southeast,Spot
216,SMB,5.463,2023-05-28,Automotive,West,Spot
217,Mid-Market,5.588,2023-07-28,Automotive,West,Contract
218,Mid-Market,5.267,2020-04-28,Retail,Northeast,Spot
219,Occasional,9.964,2019-08-03,Apparel,Northeast,Spot
220,Mid-Market,5.418,2023-11-08,Automotive,Southeast,Spot
221,Mid-Market,3.564,2019-02-23,Apparel,Northeast,Spot
222,SMB,10.229,2023-10-18,Food & Beverage,International,Contract
223,SMB,5.741,2019-11-13,Electronics,Midwest,Spot
224,Occasional,8.715,2020-10-01,Apparel,Northeast,Spot
225,Mid-Market,5.602,2023-09-20,Apparel,West,Contract
226,Occasional,10.659,2023-02-25,Electronics,Southeast,Spot
227,Enterprise,2.714,2024-03-18,Food & Beverage,Southeast,Spot
228,SMB,6.72,2023-01-27,Electronics,Midwest,Spot
229,SMB,4.805,2019-04-27,Retail,Northeast,Spot
230,Mid-Market,3.833,2024-08-06,Retail,Midwest,Contract
231,Mid-Market,4.834,2020-06-09,Retail,West,Contract
232,Mid-Market,4.832,2019-11-28,Food & Beverage,International,Spot
233,Occasional,7.668,2024-11-09,Pharma,Southeast,Spot
234,SMB,6.74,2020-04-19,Food & Beverage,Midwest,Spot
235,Occasional,6.236,2022-07-29,Industrial,Northeast,Spot
236,SMB,5.48,2022-03-29,Manufacturing,Midwest,Spot
237,SMB,6.069,2024-02-17,Food & Beverage,Southeast,Contract
238,SMB,7.854,2019-04-18,Manufacturing,Midwest,Spot
239,Enterprise,3.4,2019-09-17,Electronics,Northeast,Contract
240,Mid-Market,5.037,2021-10-08,Pharma,International,Contract
241,SMB,7.166,2022-02-26,Electronics,West,Spot
242,SMB,7.282,2024-04-03,Electronics,Southeast,Spot
243,Mid-Market,4.903,2023-01-14,Apparel,West,Contract
244,SMB,4.475,2019-12-29,Automotive,Northeast,Spot
245,SMB,8.804,2025-07-11,Manufacturing,West,Spot
246,Occasional,8.746,2022-01-24,Retail,Southeast,Spot
247,SMB,5.17,2025-06-06,Manufacturing,Northeast,Contract
248,Mid-Market,3.841,2025-08-07,Pharma,West,Contract
249,Mid-Market,3.385,2019-05-06,Industrial,Midwest,Contract
250,Mid-Market,5.385,2022-05-16,Manufacturing,Midwest,Contract
251,SMB,8.434,2021-10-24,Retail,Midwest,Spot
252,Occasional,10.874,2022-04-28,Pharma,Northeast,Spot
253,SMB,7.826,2021-01-24,Industrial,Northeast,Spot
254,Mid-Market,4.767,2022-09-22,Pharma,Midwest,Spot
255,Mid-Market,5.634,2022-04-13,Industrial,Midwest,Contract
256,SMB,7.293,2020-03-28,Apparel,Northeast,Spot
257,SMB,5.574,2020-12-03,Retail,Southeast,Spot
258,Mid-Market,4.56,2019-12-25,Food & Beverage,Midwest,Contract
259,Enterprise,2.811,2024-08-16,Automotive,Midwest,Contract
260,SMB,6.782,2023-07-08,Pharma,West,Spot
261,Mid-Market,3.335,2021-08-01,Manufacturing,Southeast,Contract
262,SMB,6.035,2021-08-21,Manufacturing,Midwest,Spot
263,Mid-Market,5.47,2019-07-12,Apparel,Midwest,Spot
264,Mid-Market,4.267,2020-12-06,Food & Beverage,Southeast,Spot
265,Occasional,9.058,2025-02-28,Pharma,Northeast,Spot
266,Mid-Market,4.908,2019-03-18,Electronics,Northeast,Spot
267,Mid-Market,4.017,2019-12-22,Electronics,West,Contract
268,Mid-Market,6.08,2024-08-22,Apparel,Northeast,Spot
269,Mid-Market,3.811,2022-06-20,Retail,Midwest,Spot
270,Enterprise,2.963,2019-03-20,Food & Beverage,Midwest,Contract
271,Enterprise,3.185,2022-04-07,Electronics,Southeast,Contract
272,Mid-Market,4.296,2024-01-01,Automotive,West,Contract
273,Enterprise,2.015,2021-04-20,Apparel,West,Spot
274,SMB,6.635,2021-07-19,Food & Beverage,Northeast,Spot
275,SMB,6.3,2023-03-18,Electronics,West,Spot
276,Mid-Market,4.697,2022-12-28,Manufacturing,Midwest,Contract
277,Mid-Market,3.617,2025-01-07,Manufacturing,Southeast,Contract
278,SMB,4.154,2020-08-26,Electronics,West,Spot
279,Occasional,8.481,2020-11-03,Automotive,West,Spot
280,Occasional,7.407,2020-01-14,Retail,Southeast,Spot
281,Enterprise,2.977,2023-06-08,Retail,International,Spot
282,Mid-Market,4.897,2022-07-22,Pharma,Midwest,Contract
283,Mid-Market,6.051,2021-04-24,Manufacturing,Midwest,Spot
284,Mid-Market,4.159,2023-08-21,Automotive,Northeast,Spot
285,SMB,7.946,2021-07-06,Automotive,Southeast,Contract
286,Mid-Market,4.956,2020-04-21,Automotive,Southeast,Contract
287,Enterprise,2.453,2022-08-07,Food & Beverage,Midwest,Contract
288,Mid-Market,2.126,2021-11-28,Food & Beverage,Midwest,Spot
289,SMB,6.503,2021-09-14,Food & Beverage,West,Spot
290,Mid-Market,4.565,2021-12-18,Manufacturing,Southeast,Spot
291,Occasional,11.612,2025-02-04,Pharma,West,Spot
292,Enterprise,1.342,2020-06-09,Automotive,West,Contract
293,Occasional,7.153,2020-11-02,Electronics,West,Spot
294,Mid-Market,4.318,2022-10-07,Retail,West,Contract
295,Occasional,7.639,2019-04-24,Pharma,West,Spot
296,Occasional,9.712,2019-12-22,Food & Beverage,Northeast,Spot
297,Occasional,5.83,2022-10-11,Automotive,West,Spot
298,SMB,6.018,2022-05-26,Automotive,International,Contract
299,SMB,5.928,2023-05-09,Industrial,Midwest,Contract
300,SMB,7.03,2019-10-04,Food & Beverage,Northeast,Contract
301,SMB,5.527,2024-09-10,Industrial,International,Contract
302,Mid-Market,3.863,2022-03-28,Retail,Northeast,Spot
303,SMB,3.894,2020-01-13,Electronics,Southeast,Spot
304,SMB,7.089,2021-01-28,Electronics,Northeast,Spot
305,Occasional,10.839,2020-07-07,Industrial,Midwest,Spot
306,SMB,7.223,2022-01-06,Pharma,Southeast,Spot
307,Mid-Market,5.573,2022-02-16,Electronics,Midwest,Spot
308,SMB,6.36,2021-11-22,Manufacturing,International,Spot
309,Mid-Market,4.306,2022-01-27,Automotive,Midwest,Spot
310,Mid-Market,4.44,2025-01-19,Apparel,Midwest,Contract
311,SMB,5.223,2025-05-24,Automotive,West,Contract
312,Mid-Market,4.261,2022-04-07,Food & Beverage,West,Spot
313,Mid-Market,2.875,2025-06-02,Manufacturing,Northeast,Spot
314,Mid-Market,3.581,2024-06-16,Electronics,Northeast,Spot
315,Mid-Market,5.465,2024-06-19,Pharma,Midwest,Contract
316,Mid-Market,2.701,2020-07-03,Manufacturing,West,Contract
317,Mid-Market,3.91,2021-12-03,Retail,Midwest,Spot
318,SMB,6.707,2021-05-07,Automotive,Northeast,Contract
319,Mid-Market,4.24,2019-08-23,Pharma,West,Contract
320,Occasional,9.799,2019-07-02,Food & Beverage,West,Spot
321,Occasional,10.239,2023-02-24,Pharma,Midwest,Spot
322,SMB,4.843,2021-10-21,Apparel,West,Spot
323,Mid-Market,6.169,2024-07-03,Retail,West,Contract
324,SMB,5.367,2023-06-17,Food & Beverage,West,Spot
325,Occasional,9.693,2019-07-27,Electronics,West,Spot
326,SMB,5.699,2024-08-02,Retail,West,Spot
327,SMB,7.613,2022-04-22,Retail,Midwest,Spot
328,SMB,6.165,2022-10-10,Food & Beverage,Midwest,Spot
329,SMB,6.063,2025-06-09,Pharma,West,Spot
330,Mid-Market,5.292,2023-04-08,Pharma,Midwest,Spot
331,SMB,8.946,2019-02-24,Automotive,Midwest,Spot
332,Mid-Market,4.099,2020-03-07,Food & Beverage,Northeast,Contract
333,SMB,7.023,2021-11-04,Pharma,West,Spot
334,Occasional,8.542,2019-04-01,Automotive,Midwest,Spot
335,Mid-Market,5.774,2020-02-12,Apparel,Southeast,Spot
336,SMB,7.007,2024-04-11,Industrial,Southeast,Spot
337,Mid-Market,3.934,2019-12-14,Manufacturing,Southeast,Spot
338,SMB,6.156,2020-02-11,Automotive,International,Spot
339,Mid-Market,5.508,2022-05-13,Apparel,West,Spot
340,Occasional,7.099,2019-08-10,Pharma,Midwest,Spot
341,Mid-Market,3.377,2020-09-14,Retail,Southeast,Spot
342,Occasional,8.576,2025-04-01,Pharma,West,Contract
343,SMB,5.884,2023-03-18,Automotive,Midwest,Spot
344,SMB,3.976,2025-06-04,Apparel,International,Contract
345,SMB,7.762,2021-05-12,Retail,Northeast,Spot
346,SMB,7.138,2023-02-09,Electronics,Northeast,Spot
347,Occasional,7.24,2020-08-03,Pharma,Midwest,Spot
348,Mid-Market,5.566,2021-07-10,Automotive,Northeast,Contract
349,SMB,6.385,2020-03-01,Food & Beverage,Midwest,Spot
350,Mid-Market,4.234,2024-07-21,Automotive,West,Contract
351,SMB,6.435,2020-03-24,Automotive,Northeast,Spot
352,Mid-Market,3.674,2020-05-13,Electronics,Southeast,Spot
353,SMB,7.483,2022-02-03,Manufacturing,West,Spot
354,SMB,4.734,2021-11-11,Industrial,West,Spot
355,SMB,5.892,2021-02-03,Pharma,Midwest,Spot
356,SMB,5.236,2021-05-19,Automotive,Northeast,Spot
357,SMB,8.726,2020-12-19,Industrial,Midwest,Contract
358,SMB,7.651,2025-01-31,Food & Beverage,Southeast,Spot
359,SMB,3.957,2022-11-14,Retail,West,Spot
360,SMB,4.783,2025-02-17,Industrial,Midwest,Spot
361,Occasional,9.578,2025-07-30,Pharma,Southeast,Spot
362,Mid-Market,4.405,2023-05-04,Retail,West,Contract
363,Mid-Market,4.85,2024-07-03,Pharma,Midwest,Contract
364,Mid-Market,4.155,2019-09-27,Retail,Northeast,Contract
365,SMB,6.441,2025-04-30,Electronics,Midwest,Spot
366,Mid-Market,5.099,2022-03-20,Electronics,International,Spot
367,SMB,6.033,2023-10-04,Food & Beverage,West,Spot
368,SMB,5.011,2020-08-20,Pharma,Southeast,Spot
369,Mid-Market,4.075,2019-08-21,Automotive,West,Contract
370,Occasional,10.091,2024-11-24,Electronics,Southeast,Spot
371,SMB,8.934,2021-12-30,Apparel,Midwest,Spot
372,Mid-Market,5.158,2019-12-04,Industrial,Midwest,Spot
373,Mid-Market,4.998,2023-05-23,Apparel,Southeast,Spot
374,Mid-Market,4.545,2019-05-13,Electronics,Southeast,Contract
375,Mid-Market,4.203,2022-01-01,Apparel,International,Contract
376,Mid-Market,4.736,2023-09-12,Electronics,Southeast,Spot
377,Occasional,11.163,2023-10-21,Food & Beverage,West,Spot
378,SMB,6.975,2022-01-08,Apparel,West,Spot
379,Mid-Market,5.095,2021-06-19,Electronics,Midwest,Contract
380,SMB,7.17,2024-08-03,Retail,Northeast,Spot
381,SMB,5.77,2020-03-25,Automotive,Northeast,Spot
382,Occasional,9.395,2019-07-01,Apparel,Northeast,Spot
383,SMB,7.467,2020-01-17,Retail,Midwest,Spot
384,SMB,6.143,2024-05-04,Food & Beverage,International,Contract
385,Mid-Market,6.456,2022-02-18,Electronics,West,Spot
386,Occasional,10.279,2019-04-01,Industrial,Northeast,Spot
387,SMB,6.26,2020-02-15,Industrial,Southeast,Contract
388,Occasional,8.325,2019-03-10,Apparel,Northeast,Spot
389,Mid-Market,5.445,2024-06-06,Food & Beverage,International,Spot
390,Occasional,8.035,2022-01-28,Retail,Northeast,Spot
391,SMB,7.333,2019-06-15,Manufacturing,Northeast,Spot
392,Mid-Market,5.478,2020-06-22,Retail,Midwest,Contract
393,SMB,4.645,2023-02-10,Automotive,Midwest,Spot
394,SMB,8.516,2022-12-16,Retail,Northeast,Spot
395,Enterprise,1.536,2024-06-17,Apparel,West,Contract
396,SMB,6.819,2019-03-04,Industrial,Northeast,Spot
397,SMB,8.137,2019-06-18,Electronics,Northeast,Spot
398,Mid-Market,7.38,2019-03-28,Apparel,Northeast,Contract
399,SMB,5.309,2021-08-17,Industrial,Southeast,Spot
400,SMB,5.492,2023-11-06,Food & Beverage,International,Spot
401,Mid-Market,5.064,2023-06-03,Food & Beverage,Midwest,Spot
402,Occasional,9.558,2020-05-26,Manufacturing,West,Spot
403,SMB,5.206,2023-05-20,Food & Beverage,Southeast,Spot
404,Mid-Market,5.036,2023-05-18,Automotive,West,Contract
405,Occasional,8.182,2020-04-11,Apparel,International,Spot
406,Occasional,9.231,2024-01-01,Manufacturing,Southeast,Spot
407,Mid-Market,5.234,2021-10-25,Pharma,International,Contract
408,Occasional,7.102,2019-05-25,Apparel,Midwest,Spot
409,Mid-Market,3.692,2021-08-09,Retail,West,Spot
410,Occasional,7.389,2024-02-18,Automotive,Southeast,Spot
411,SMB,6.9,2023-08-23,Manufacturing,Midwest,Contract
412,SMB,6.679,2020-10-15,Electronics,Midwest,Spot
413,Mid-Market,4.2,2024-01-18,Food & Beverage,International,Spot
414,Occasional,9.817,2021-08-06,Pharma,International,Spot
415,Enterprise,2.091,2022-01-25,Industrial,Southeast,Contract
416,Mid-Market,4.144,2019-07-30,Manufacturing,International,Contract
417,Mid-Market,5.183,2025-08-24,Electronics,West,Contract
418,SMB,6.043,2024-08-04,Food & Beverage,Midwest,Spot
419,Mid-Market,4.443,2020-04-19,Automotive,Northeast,Spot
420,Occasional,10.219,2022-09-27,Industrial,Northeast,Spot
421,SMB,5.383,2024-03-15,Food & Beverage,Northeast,Spot
422,Enterprise,2.866,2022-05-13,Apparel,Northeast,Contract
423,Enterprise,2.657,2020-05-28,Industrial,International,Contract
424,Enterprise,2.692,2025-06-16,Automotive,Northeast,Contract
425,SMB,5.08,2020-10-16,Apparel,West,Spot
426,SMB,6.542,2021-03-25,Pharma,Midwest,Contract
427,Mid-Market,4.724,2021-06-23,Industrial,Midwest,Contract
428,Occasional,7.223,2024-12-09,Manufacturing,Northeast,Spot
429,Enterprise,3.575,2022-05-02,Electronics,Midwest,Contract
430,SMB,6.041,2023-10-19,Apparel,Midwest,Contract
431,Occasional,9.873,2025-01-03,Retail,Midwest,Spot
432,SMB,5.777,2025-03-10,Pharma,Northeast,Spot
433,SMB,8.457,2024-09-16,Automotive,West,Spot
434,Occasional,7.948,2025-01-19,Manufacturing,Northeast,Spot
435,Enterprise,1.965,2025-04-27,Automotive,Midwest,Contract
436,Mid-Market,5.579,2025-08-10,Food & Beverage,Southeast,Contract
437,Mid-Market,5.377,2023-04-15,Automotive,Southeast,Contract
