month,segment,revenue,shipments
2026-04-01,Enterprise,56480.99,292
2026-05-01,Enterprise,57157.38,268
2026-06-01,Enterprise,55474.69,284
2026-07-01,Enterprise,74725.56,328
2026-08-01,Enterprise,44008.090000000004,178
2021-06-01,Mid-Market,56693.89,301
2021-07-01,Mid-Market,74774.69,350
2021-08-01,Mid-Market,68199.72,358
2021-09-01,Mid-Market,64121.14,360
2021-10-01,Mid-Market,73749.8,381
2021-11-01,Mid-Market,74071.7,388
2021-12-01,Mid-Market,86081.89,387
2022-01-01,Mid-Market,84400.35,412
2022-02-01,Mid-Market,75003.67,353
2022-03-01,Mid-Market,78402.86,408
2022-04-01,Mid-Market,88127.69,386
2022-05-01,Mid-Market,86896.41,455
2022-06-01,Mid-Market,88244.85,443
2022-07-01,Mid-Market,87464.11,484
2022-08-01,Mid-Market,83366.42,441
2022-09-01,Mid-Market,97041.4,477
2022-10-01,Mid-Market,100320.66,518
2022-11-01,Mid-Market,87433.48,425
2022-12-01,Mid-Market,98625.6,500
2023-01-01,Mid-Market,96020.77,517
2023-02-01,Mid-Market,97958.39,487
2023-03-01,Mid-Market,100893.54,515
2023-04-01,Mid-Market,107880.8,551
2023-05-01,Mid-Market,118458.35,597
2023-06-01,Mid-Market,106007.44,568
2023-07-01,Mid-Market,115792.0,591
2023-08-01,Mid-Market,114811.38,578
2023-09-01,Mid-Market,117512.64,559
2023-10-01,Mid-Market,133233.91,620
2023-11-01,Mid-Market,116815.16,586
2023-12-01,Mid-Market,135240.82,657
2024-01-01,Mid-Market,141196.88999999998,668
2024-02-01,Mid-Market,128930.03,622
2024-03-01,Mid-Market,140547.53,660
2024-04-01,Mid-Market,124833.77,652
2024-05-01,Mid-Market,128671.26,647
2024-06-01,Mid-Market,138729.84,731
2024-07-01,Mid-Market,143553.33,735
2024-08-01,Mid-Market,143286.8,717
2024-09-01,Mid-Market,131776.58,694
2024-10-01,Mid-Market,149798.42,754
2024-11-01,Mid-Market,145722.43,735
2024-12-01,Mid-Market,143100.96,745
2025-01-01,Mid-Market,160287.76,766
2025-02-01,Mid-Market,125832.93,674
2025-03-01,Mid-Market,168921.64,822
2025-04-01,Mid-Market,156393.85,814
2025-05-01,Mid-Market,151004.85,739
2025-06-01,Mid-Market,145024.33,769
2025-07-01,Mid-Market,167432.17,855
2025-08-01,Mid-Market,156219.62,777
2025-09-01,Mid-Market,178025.88,844
2025-10-01,Mid-Market,169156.71,887
2025-11-01,Mid-Market,165097.87,825
2025-12-01,Mid-Market,164982.87,815
2026-01-01,Mid-Market,163965.51,833
2026-02-01,Mid-Market,145311.33,745
2026-03-01,Mid-Market,166998.12,844
2026-04-01,Mid-Market,154086.73,851
2026-05-01,Mid-Market,159871.3,801
2026-06-01,Mid-Market,158014.72,840
2026-07-01,Mid-Market,176527.6,844
2026-08-01,Mid-Market,95957.85,495
2021-06-01,Occasional,4938.63,23
2021-07-01,Occasional,5769.53,29
2021-08-01,Occasional,8664.29,39
2021-09-01,Occasional,4626.97,28
2021-10-01,Occasional,8899.3,42
2021-11-01,Occasional,6527.76,34
2021-12-01,Occasional,5615.03,31
2022-01-01,Occasional,10021.61,46
2022-02-01,Occasional,5198.99,30
2022-03-01,Occasional,3827.5,32
2022-04-01,Occasional,6619.66,43
2022-05-01,Occasional,6527.32,30
2022-06-01,Occasional,5865.5,38
2022-07-01,Occasional,6506.62,35
2022-08-01,Occasional,8691.460000000001,50
2022-09-01,Occasional,8618.08,44
2022-10-01,Occasional,7484.73,44
2022-11-01,Occasional,5145.73,36
2022-12-01,Occasional,12664.39,48
2023-01-01,Occasional,12422.77,56
2023-02-01,Occasional,9522.210000000001,52
2023-03-01,Occasional,8785.13,53
2023-04-01,Occasional,10920.67,45
2023-05-01,Occasional,15664.22,72
2023-06-01,Occasional,10521.1,59
2023-07-01,Occasional,14413.52,56
2023-08-01,Occasional,8241.29,61
2023-09-01,Occasional,8206.11,58
2023-10-01,Occasional,14486.16,74
2023-11-01,Occasional,9570.79,61
2023-12-01,Occasional,9847.6,46
2024-01-01,Occasional,10404.84,54
2024-02-01,Occasional,9344.04,53
2024-03-01,Occasional,12711.1,68
2024-04-01,Occasional,11676.33,66
2024-05-01,Occasional,13464.6,67
2024-06-01,Occasional,11749.75,52
2024-07-01,Occasional,10621.43,67
2024-08-01,Occasional,11514.87,63
2024-09-01,Occasional,8549.51,55
2024-10-01,Occasional,14627.83,66
2024-11-01,Occasional,18439.18,87
2024-12-01,Occasional,11346.82,74
2025-01-01,Occasional,12964.3,78
2025-02-01,Occasional,13598.54,65
2025-03-01,Occasional,13496.21,77
2025-04-01,Occasional,12353.19,71
2025-05-01,Occasional,16768.5,75
2025-06-01,Occasional,15355.97,74
2025-07-01,Occasional,14718.25,78
2025-08-01,Occasional,12414.9,71
2025-09-01,Occasional,16487.62,71
2025-10-01,Occasional,17395.31,79
2025-11-01,Occasional,17499.68,74
2025-12-01,Occasional,11799.59,72
2026-01-01,Occasional,14101.42,71
2026-02-01,Occasional,12901.95,66
2026-03-01,Occasional,12376.1,54
2026-04-01,Occasional,13086.7,77
2026-05-01,Occasional,14226.97,81
2026-06-01,Occasional,15827.09,73
2026-07-01,Occasional,13779.48,67
2026-08-01,Occasional,10205.92,50
2021-06-01,SMB,33711.15,171
2021-07-01,SMB,36660.74,190
2021-08-01,SMB,36865.72,185
2021-09-01,SMB,25828.49,150
2021-10-01,SMB,45437.8,194
2021-11-01,SMB,43368.7,208
2021-12-01,SMB,40785.06,205
2022-01-01,SMB,38849.77,204
2022-02-01,SMB,36460.75,205
2022-03-01,SMB,45245.88,215
2022-04-01,SMB,47994.37,232
2022-05-01,SMB,44721.29,219
2022-06-01,SMB,40150.96,217
2022-07-01,SMB,45880.46,253
2022-08-01,SMB,56539.77,261
2022-09-01,SMB,49445.24,250
2022-10-01,SMB,45795.51,246
2022-11-01,SMB,47488.57,260
2022-12-01,SMB,48985.66,276
2023-01-01,SMB,48344.12,276
2023-02-01,SMB,52275.81,235
2023-03-01,SMB,47932.18,266
2023-04-01,SMB,51890.92,280
2023-05-01,SMB,67190.21,320
2023-06-01,SMB,59380.8,298
2023-07-01,SMB,57584.21,321
2023-08-01,SMB,59494.2,332
2023-09-01,SMB,58129.22,319
2023-10-01,SMB,67768.12,334
2023-11-01,SMB,63048.94,327
2023-12-01,SMB,62253.79,338
2024-01-01,SMB,63994.82,331
2024-02-01,SMB,64463.17,338
2024-03-01,SMB,77479.06,368
2024-04-01,SMB,59509.14,336
2024-05-01,SMB,75962.02,386
2024-06-01,SMB,80904.3,383
2024-07-01,SMB,78696.82,394
2024-08-01,SMB,81094.04,406
2024-09-01,SMB,69670.98,386
2024-10-01,SMB,77737.56999999999,406
2024-11-01,SMB,81928.66,393
2024-12-01,SMB,69591.3,380
2025-01-01,SMB,80920.66,416
2025-02-01,SMB,82086.49,447
2025-03-01,SMB,78911.2,402
2025-04-01,SMB,77154.6,394
2025-05-01,SMB,80220.04,436
2025-06-01,SMB,73094.87,400
2025-07-01,SMB,87832.46,441
2025-08-01,SMB,84714.56999999999,435
2025-09-01,SMB,88666.94,437
2025-10-01,SMB,99728.52,471
2025-11-01,SMB,79891.74,434
2025-12-01,SMB,92501.73,495
2026-01-01,SMB,94152.2,490
2026-02-01,SMB,72525.74,398
2026-03-01,SMB,93719.99,475
2026-04-01,SMB,84175.68,434
2026-05-01,SMB,91856.69,463
2026-06-01,SMB,92639.39,480
2026-07-01,SMB,88105.06,486
2026-08-01,SMB,54987.68,275
